Ferramenta;Modelo;Rodada;Tempo_ms;Linhas;Tamanho_bytes
PICT;M1;1;396,8023;11;222
PICT;M1;2;385,6342;11;222
PICT;M1;3;404,9463;11;222
PICT;M1;4;377,7458;11;222
PICT;M1;5;453,9087;11;222
PICT;M1;6;398,854;11;222
PICT;M1;7;410,1957;11;222
PICT;M1;8;413,4657;11;222
PICT;M1;9;367,6806;11;222
PICT;M1;10;400,0202;11;222
PICT;M1;11;409,1824;11;222
PICT;M1;12;401,146;11;222
PICT;M1;13;377,4937;11;222
PICT;M1;14;414,7165;11;222
PICT;M1;15;414,5507;11;222
PICT;M1;16;436,4834;11;222
PICT;M1;17;406,6294;11;222
PICT;M1;18;391,3984;11;222
PICT;M1;19;395,0247;11;222
PICT;M1;20;388,486;11;222
PICT;M1;21;406,064;11;222
PICT;M1;22;425,2854;11;222
PICT;M1;23;385,9197;11;222
PICT;M1;24;423,85;11;222
PICT;M1;25;403,9511;11;222
PICT;M1;26;416,8319;11;222
PICT;M1;27;397,9389;11;222
PICT;M1;28;360,5878;11;222
PICT;M1;29;413,0697;11;222
PICT;M1;30;400,9791;11;222
PICT;M1;31;449,2864;11;222
PICT;M1;32;388,7552;11;222
PICT;M1;33;371,6374;11;222
PICT;M1;34;414,7631;11;222
PICT;M1;35;410,1855;11;222
PICT;M1;36;413,8014;11;222
PICT;M1;37;408,7444;11;222
PICT;M1;38;371,4059;11;222
PICT;M1;39;417,0519;11;222
PICT;M1;40;400,8292;11;222
PICT;M1;41;1188,2364;11;222
PICT;M1;42;388,6762;11;222
PICT;M1;43;416,6971;11;222
PICT;M1;44;407,3729;11;222
PICT;M1;45;404,2297;11;222
PICT;M1;46;380,9796;11;222
PICT;M1;47;413,6032;11;222
PICT;M1;48;392,5501;11;222
PICT;M1;49;368,7778;11;222
PICT;M1;50;410,9495;11;222
PICT;M2;1;5436,2788;3541;277748
PICT;M2;2;5477,2261;3541;277748
PICT;M2;3;5683,9878;3541;277748
PICT;M2;4;5684,6231;3541;277748
PICT;M2;5;5707,8213;3541;277748
PICT;M2;6;5687,3082;3541;277748
PICT;M2;7;5687,9771;3541;277748
PICT;M2;8;5673,7002;3541;277748
PICT;M2;9;5795,8475;3541;277748
PICT;M2;10;5768,0328;3541;277748
PICT;M2;11;5918,152;3541;277748
PICT;M2;12;6133,8763;3541;277748
PICT;M2;13;5769,293;3541;277748
PICT;M2;14;5815,8426;3541;277748
PICT;M2;15;5814,8663;3541;277748
PICT;M2;16;5799,5846;3541;277748
PICT;M2;17;6559,0127;3541;277748
PICT;M2;18;6186,6694;3541;277748
PICT;M2;19;5939,9732;3541;277748
PICT;M2;20;6179,1628;3541;277748
PICT;M2;21;5862,6992;3541;277748
PICT;M2;22;6489,449;3541;277748
PICT;M2;23;6018,9389;3541;277748
PICT;M2;24;6220,7436;3541;277748
PICT;M2;25;5908,5795;3541;277748
PICT;M2;26;5997,0584;3541;277748
PICT;M2;27;5958,5222;3541;277748
PICT;M2;28;6027,4888;3541;277748
PICT;M2;29;6260,6339;3541;277748
PICT;M2;30;5972,3119;3541;277748
PICT;M2;31;5967,7437;3541;277748
PICT;M2;32;6162,2881;3541;277748
PICT;M2;33;6288,7053;3541;277748
PICT;M2;34;5940,2486;3541;277748
PICT;M2;35;5977,8585;3541;277748
PICT;M2;36;5984,5048;3541;277748
PICT;M2;37;5917,8969;3541;277748
PICT;M2;38;6196,8176;3541;277748
PICT;M2;39;5949,3885;3541;277748
PICT;M2;40;6133,6638;3541;277748
PICT;M2;41;6306,22;3541;277748
PICT;M2;42;6000,5937;3541;277748
PICT;M2;43;6035,4408;3541;277748
PICT;M2;44;6085,1629;3541;277748
PICT;M2;45;5950,4529;3541;277748
PICT;M2;46;5927,1307;3541;277748
PICT;M2;47;5871,8483;3541;277748
PICT;M2;48;5962,8003;3541;277748
PICT;M2;49;5938,899;3541;277748
PICT;M2;50;5938,2064;3541;277748
Jenny;M1;1;381,3831;9;218
Jenny;M1;2;395,3992;9;218
Jenny;M1;3;396,1071;9;218
Jenny;M1;4;365,6164;9;218
Jenny;M1;5;429,2493;9;218
Jenny;M1;6;400,5997;9;218
Jenny;M1;7;382,515;9;218
Jenny;M1;8;357,7012;9;218
Jenny;M1;9;392,0085;9;218
Jenny;M1;10;401,5147;9;218
Jenny;M1;11;387,0921;9;218
Jenny;M1;12;357,4868;9;218
Jenny;M1;13;379,4459;9;218
Jenny;M1;14;891,1274;9;218
Jenny;M1;15;377,7256;9;218
Jenny;M1;16;382,335;9;218
Jenny;M1;17;368,237;9;218
Jenny;M1;18;375,1287;9;218
Jenny;M1;19;390,8812;9;218
Jenny;M1;20;404,5811;9;218
Jenny;M1;21;380,6885;9;218
Jenny;M1;22;395,7099;9;218
Jenny;M1;23;374,3881;9;218
Jenny;M1;24;398,4896;9;218
Jenny;M1;25;374,3144;9;218
Jenny;M1;26;402,3263;9;218
Jenny;M1;27;406,5404;9;218
Jenny;M1;28;372,3678;9;218
Jenny;M1;29;382,5406;9;218
Jenny;M1;30;379,9942;9;218
Jenny;M1;31;405,6356;9;218
Jenny;M1;32;395,7837;9;218
Jenny;M1;33;403,1238;9;218
Jenny;M1;34;356,0326;9;218
Jenny;M1;35;392,0056;9;218
Jenny;M1;36;381,1814;9;218
Jenny;M1;37;379,2803;9;218
Jenny;M1;38;372,1439;9;218
Jenny;M1;39;388,2396;9;218
Jenny;M1;40;394,7921;9;218
Jenny;M1;41;398,1243;9;218
Jenny;M1;42;392,2538;9;218
Jenny;M1;43;380,3398;9;218
Jenny;M1;44;397,09;9;218
Jenny;M1;45;388,384;9;218
Jenny;M1;46;363,7964;9;218
Jenny;M1;47;390,9703;9;218
Jenny;M1;48;953,9064;9;218
Jenny;M1;49;459,938;9;218
Jenny;M1;50;359,0418;9;218
Jenny;M2;1;21666,2092;3331;226510
Jenny;M2;2;22819,9955;3331;226510
Jenny;M2;3;22868,381;3331;226510
Jenny;M2;4;22611,9179;3331;226510
Jenny;M2;5;22873,1472;3331;226510
Jenny;M2;6;22820,4314;3331;226510
Jenny;M2;7;23524,3823;3331;226510
Jenny;M2;8;22758,2288;3331;226510
Jenny;M2;9;23521,0097;3331;226510
Jenny;M2;10;22932,4338;3331;226510
Jenny;M2;11;22823,0501;3331;226510
Jenny;M2;12;22749,1908;3331;226510
Jenny;M2;13;22713,3081;3331;226510
Jenny;M2;14;22797,8503;3331;226510
Jenny;M2;15;23188,7018;3331;226510
Jenny;M2;16;22748,9696;3331;226510
Jenny;M2;17;23599,0244;3331;226510
Jenny;M2;18;30297,7165;3331;226510
Jenny;M2;19;28842,7866;3331;226510
Jenny;M2;20;29261,8776;3331;226510
Jenny;M2;21;29894,2245;3331;226510
Jenny;M2;22;30366,4877;3331;226510
Jenny;M2;23;29827,3201;3331;226510
Jenny;M2;24;28361,9445;3331;226510
Jenny;M2;25;28005,1138;3331;226510
Jenny;M2;26;30638,3107;3331;226510
Jenny;M2;27;29739,7497;3331;226510
Jenny;M2;28;33487,3858;3331;226510
Jenny;M2;29;29748,1564;3331;226510
Jenny;M2;30;29908,463;3331;226510
Jenny;M2;31;31059,0395;3331;226510
Jenny;M2;32;29376,7583;3331;226510
Jenny;M2;33;30011,577;3331;226510
Jenny;M2;34;28685,9522;3331;226510
Jenny;M2;35;31016,1492;3331;226510
Jenny;M2;36;32116,4253;3331;226510
Jenny;M2;37;29897,5983;3331;226510
Jenny;M2;38;28656,1504;3331;226510
Jenny;M2;39;31106,6517;3331;226510
Jenny;M2;40;27971,8995;3331;226510
Jenny;M2;41;29411,1713;3331;226510
Jenny;M2;42;27873,0189;3331;226510
Jenny;M2;43;28875,5076;3331;226510
Jenny;M2;44;30514,7581;3331;226510
Jenny;M2;45;29060,2485;3331;226510
Jenny;M2;46;34126,6534;3331;226510
Jenny;M2;47;32063,3481;3331;226510
Jenny;M2;48;39240,1559;3331;226510
Jenny;M2;49;33209,2901;3331;226510
Jenny;M2;50;35430,6457;3331;226510
